customer_id,first_name,last_name,street,city,state,zip,closest_store_id,distance_to_store,full_address,latitude,longitude,closest_station,distance_to_station
1,Robb,Weaving,5 Ramsey Place,Oakland,CA,94609,1,1,"5 Ramsey Place, Oakland, CA 94609",37.7879576,-122.2814394,Lake Merritt,1.057789063931851
2,Robby,Belliard,6 Londonderry Plaza,Oakland,CA,94609,1,1,"6 Londonderry Plaza, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
3,Sadella,Caudrelier,548 Mcguire Parkway,Oakland,CA,94609,1,1,"548 Mcguire Parkway, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
4,Holmes,Shimmings,99 Kennedy Court,Oakland,CA,94609,1,1,"99 Kennedy Court, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
5,Beverley,Gubbin,51 Mcbride Drive,Oakland,CA,94609,1,1,"51 Mcbride Drive, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
6,Pavia,Millery,463 Columbus Pass,Oakland,CA,94609,1,1,"463 Columbus Pass, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
7,Engracia,Jeanon,24 Hanover Court,Oakland,CA,94609,1,1,"24 Hanover Court, Oakland, CA 94609",37.8324765,-122.2666627,MacArthur,0.29272609251971793
8,Melinda,Stodd,568 Nova Way,Oakland,CA,94609,1,1,"568 Nova Way, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
9,Dinnie,Leek,38 Golf Alley,Oakland,CA,94609,1,1,"38 Golf Alley, Oakland, CA 94609",37.8264202,-122.2592627,MacArthur,0.45630396915282984
10,Caitrin,Filipowicz,61 Michigan Drive,Oakland,CA,94609,1,1,"61 Michigan Drive, Oakland, CA 94609",37.8465946,-122.2653529,Ashby,0.5125645912653143
11,Sybille,Vipan,75841 2nd Hill,Oakland,CA,94609,1,1,"75841 2nd Hill, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
12,Genevieve,Roughey,129 Katie Street,Oakland,CA,94609,1,1,"129 Katie Street, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
13,Artie,Brandes,3744 Troy Circle,Oakland,CA,94609,1,1,"3744 Troy Circle, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
14,Matilda,Keynes,73 Grayhawk Park,Oakland,CA,94609,1,1,"73 Grayhawk Park, Oakland, CA 94609",37.8175472,-122.2677893,19th Street,0.6706559582734776
15,Carmina,Wandrey,96472 Stephen Alley,Oakland,CA,94609,1,1,"96472 Stephen Alley, Oakland, CA 94609",37.813154,-122.247122,19th Street,1.2503061086031637
16,Tailor,Ades,50 Union Center,Oakland,CA,94609,1,1,"50 Union Center, Oakland, CA 94609",37.8359752,-122.2585026,Rockridge,0.6819641507387787
17,Davidson,Stapleton,5 2nd Way,Oakland,CA,94609,1,1,"5 2nd Way, Oakland, CA 94609",37.8372449,-122.2684411,MacArthur,0.6229450844330181
18,Julio,Vearncomb,600 Crownhardt Drive,Oakland,CA,94609,1,1,"600 Crownhardt Drive, Oakland, CA 94609",37.7908653,-122.1828729,Fruitvale,2.5139813053629165
19,Alysa,Laight,8 Sunfield Hill,Oakland,CA,94609,1,1,"8 Sunfield Hill, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
20,Ragnar,Keeping,3 Iowa Avenue,Oakland,CA,94609,1,1,"3 Iowa Avenue, Oakland, CA 94609",37.8349964,-122.2625599,MacArthur,0.5313876692726526
21,Kara,Faulder,2928 Aberg Drive,Oakland,CA,94609,1,1,"2928 Aberg Drive, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
22,Edie,Wholesworth,9393 Crescent Oaks Parkway,Oakland,CA,94609,1,1,"9393 Crescent Oaks Parkway, Oakland, CA 94609",37.7438645,-122.1465566,San Leandro,1.7093797526254575
23,Laurene,Righy,85651 Daystar Pass,Oakland,CA,94609,1,1,"85651 Daystar Pass, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
24,Elvyn,Rucklesse,38 Becker Center,Oakland,CA,94609,1,1,"38 Becker Center, Oakland, CA 94609",37.8264202,-122.2592627,MacArthur,0.45630396915282984
25,Theodore,Knaggs,25 Katie Center,Oakland,CA,94609,1,1,"25 Katie Center, Oakland, CA 94609",37.8145957,-122.2698395,19th Street,0.4663030936695064
26,Putnam,Heaford,471 Knutson Place,Oakland,CA,94609,1,1,"471 Knutson Place, Oakland, CA 94609",37.8047226,-122.2735856,12th Street,0.11567503400915014
27,Richart,Scimonelli,8 Mallard Way,Oakland,CA,94609,1,1,"8 Mallard Way, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
28,Janith,Balbeck,45917 Red Cloud Way,Oakland,CA,94609,1,1,"45917 Red Cloud Way, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
29,Wainwright,Armatage,4050 Mccormick Crossing,Oakland,CA,94609,1,1,"4050 Mccormick Crossing, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
30,Gherardo,Iacovone,489 Continental Way,Oakland,CA,94609,1,1,"489 Continental Way, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
31,Yovonnda,Orhrt,6738 Bayside Hill,Oakland,CA,94609,1,1,"6738 Bayside Hill, Oakland, CA 94609",37.82039899999999,-122.26642,MacArthur,0.5441708307214953
32,Giffard,Grayne,303 Debs Center,Oakland,CA,94609,1,1,"303 Debs Center, Oakland, CA 94609",37.8081525,-122.293929,West Oakland,0.23328986866011994
33,Tiffi,Raywood,1 Brown Point,Oakland,CA,94609,1,1,"1 Brown Point, Oakland, CA 94609",37.8368996,-122.2671455,MacArthur,0.5958982502389059
34,Melloney,Bernet,1 Northfield Circle,Oakland,CA,94609,1,1,"1 Northfield Circle, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
35,Leilah,Henner,2 Prairie Rose Avenue,Oakland,CA,94609,1,1,"2 Prairie Rose Avenue, Oakland, CA 94609",37.8270057,-122.2463225,MacArthur,1.1494461913522118
36,La verne,Deniscke,32 Lyons Avenue,Oakland,CA,94609,1,1,"32 Lyons Avenue, Oakland, CA 94609",37.7840115,-122.2085948,Fruitvale,1.0601754290632683
37,Konstance,Divina,84 Brentwood Parkway,Oakland,CA,94609,1,1,"84 Brentwood Parkway, Oakland, CA 94609",37.8133009,-122.2056431,Fruitvale,2.8409578415337746
38,Cassaundra,Sadat,7301 Corscot Parkway,Oakland,CA,94609,1,1,"7301 Corscot Parkway, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
39,Garnet,Pearne,701 Tomscot Park,Oakland,CA,94609,1,1,"701 Tomscot Park, Oakland, CA 94609",37.8353421,-122.2631008,MacArthur,0.5391733472689471
40,Nadiya,Wearing,65 Jenna Way,Oakland,CA,94609,1,1,"65 Jenna Way, Oakland, CA 94609",37.8506305,-122.2636386,Ashby,0.3842542199861639
41,Camile,Lorrain,93240 Messerschmidt Road,Oakland,CA,94609,1,1,"93240 Messerschmidt Road, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
42,Rebekkah,Alywen,9533 Sloan Circle,Oakland,CA,94609,1,1,"9533 Sloan Circle, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
43,Byrom,Lawlor,6 Dixon Avenue,Oakland,CA,94609,1,1,"6 Dixon Avenue, Oakland, CA 94609",37.8349964,-122.2625599,MacArthur,0.5313876692726526
44,Clemente,Burles,4 Monument Park,Oakland,CA,94609,1,1,"4 Monument Park, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
45,Arnaldo,Bampkin,802 Stone Corner Drive,Oakland,CA,94609,1,1,"802 Stone Corner Drive, Oakland, CA 94609",37.7362662,-122.1783079,San Leandro,1.3900718397688807
46,Silvano,Satyford,77 Veith Plaza,Oakland,CA,94609,1,1,"77 Veith Plaza, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
47,Vasilis,Seilmann,154 Vermont Plaza,Oakland,CA,94609,1,1,"154 Vermont Plaza, Oakland, CA 94609",37.8153033,-122.243716,19th Street,1.4743672031450796
48,Carey,Betjes,33327 Warner Alley,Oakland,CA,94609,1,1,"33327 Warner Alley, Oakland, CA 94609",37.813154,-122.247122,19th Street,1.2503061086031637
49,Kassie,Scholtis,8 Northview Point,Oakland,CA,94609,1,1,"8 Northview Point, Oakland, CA 94609",37.7797737,-122.2956545,West Oakland,1.7331651236719143
50,Renault,Gunstone,7827 Northwestern Court,Oakland,CA,94609,1,1,"7827 Northwestern Court, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
51,Claybourne,de Banke,30 Erie Parkway,Oakland,CA,94609,1,1,"30 Erie Parkway, Oakland, CA 94609",37.8129994,-122.2423512,19th Street,1.4993883630192435
52,Dulcinea,Fernier,92 Oneill Pass,Oakland,CA,94609,1,1,"92 Oneill Pass, Oakland, CA 94609",37.5724844,-122.2635849,Millbrae,7.023793875568951
53,Agnella,Hattrick,607 Old Gate Place,Oakland,CA,94609,1,1,"607 Old Gate Place, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
54,Lilllie,Giblett,54066 Ronald Regan Center,Oakland,CA,94609,1,1,"54066 Ronald Regan Center, Oakland, CA 94609",37.8081525,-122.293929,West Oakland,0.23328986866011994
55,Hermann,Teideman,54 American Circle,Oakland,CA,94609,1,1,"54 American Circle, Oakland, CA 94609",37.838892,-122.2696104,MacArthur,0.7443125190851066
56,Elvira,Mockett,305 Crescent Oaks Circle,Oakland,CA,94609,1,1,"305 Crescent Oaks Circle, Oakland, CA 94609",37.7587666,-122.1427608,San Leandro,2.734240327938888
57,Gertrude,Cook,846 Morrow Hill,Oakland,CA,94609,1,1,"846 Morrow Hill, Oakland, CA 94609",37.80650780000001,-122.2661442,19th Street,0.18136082070308449
58,Brewster,Morriss,4202 8th Crossing,Oakland,CA,94609,1,1,"4202 8th Crossing, Oakland, CA 94609",37.7797737,-122.2956545,West Oakland,1.7331651236719143
59,Emmi,Phythien,1277 Gerald Park,Oakland,CA,94609,1,1,"1277 Gerald Park, Oakland, CA 94609",37.8253103,-122.2584891,MacArthur,0.5219105535048586
60,Ivar,Sieghart,66 Express Plaza,Oakland,CA,94609,1,1,"66 Express Plaza, Oakland, CA 94609",37.8518579,-122.2616624,Ashby,0.46121001561776176
61,Hi,Bool,177 Colorado Drive,Oakland,CA,94609,1,1,"177 Colorado Drive, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
62,Joelynn,Brotherick,37 Dahle Court,Oakland,CA,94609,1,1,"37 Dahle Court, Oakland, CA 94609",37.8262153,-122.2687352,MacArthur,0.1620709603641383
63,Dougy,Ricioppo,6145 Sage Hill,Oakland,CA,94609,1,1,"6145 Sage Hill, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
64,Aylmer,Flew,1 Hooker Plaza,Oakland,CA,94609,1,1,"1 Hooker Plaza, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
65,Angel,Cobbin,37892 Springs Avenue,Oakland,CA,94609,1,1,"37892 Springs Avenue, Oakland, CA 94609",37.8349964,-122.2625599,MacArthur,0.5313876692726526
66,Donaugh,Danilishin,943 Truax Circle,Oakland,CA,94609,1,1,"943 Truax Circle, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
67,Lanni,Pickavant,481 Moose Pass,Oakland,CA,94609,1,1,"481 Moose Pass, Oakland, CA 94609",37.8385549,-122.2629649,Rockridge,0.7208639499859782
68,Torrie,Paike,2 Jenifer Point,Oakland,CA,94609,1,1,"2 Jenifer Point, Oakland, CA 94609",37.7951195,-122.2739576,Lake Merritt,0.44289413308954834
69,Hyman,McCotter,8234 Katie Pass,Oakland,CA,94609,1,1,"8234 Katie Pass, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
70,Licha,Domerque,7 Morrow Junction,Oakland,CA,94609,1,1,"7 Morrow Junction, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
71,Chicky,Nazareth,80 International Point,Oakland,CA,94609,1,1,"80 International Point, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
72,Cazzie,Leftridge,1 Claremont Parkway,Oakland,CA,94609,1,1,"1 Claremont Parkway, Oakland, CA 94609",37.8917845,-122.2031827,Orinda,1.406476604012663
73,Thomasine,Antos,882 Eagan Circle,Oakland,CA,94609,1,1,"882 Eagan Circle, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
74,Clarence,Matthai,69496 Derek Center,Oakland,CA,94609,1,1,"69496 Derek Center, Oakland, CA 94609",37.8081525,-122.293929,West Oakland,0.23328986866011994
75,Correna,Aldus,62 Anzinger Court,Oakland,CA,94609,1,1,"62 Anzinger Court, Oakland, CA 94609",37.8477995,-122.2655111,Ashby,0.4372000974305672
76,Anne-corinne,Crinkley,3530 4th Crossing,Oakland,CA,94609,1,1,"3530 4th Crossing, Oakland, CA 94609",37.7946514,-122.2683716,Lake Merritt,0.23638414359804466
77,Ximenez,Collicott,811 Westport Court,Oakland,CA,94609,1,1,"811 Westport Court, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
78,Yulma,Wrate,5 West Place,Oakland,CA,94609,1,1,"5 West Place, Oakland, CA 94609",37.8275163,-122.2716929,MacArthur,0.24705904439316445
79,Maible,Korf,79892 Victoria Avenue,Oakland,CA,94609,1,1,"79892 Victoria Avenue, Oakland, CA 94609",37.8349964,-122.2625599,MacArthur,0.5313876692726526
80,Ephraim,Lago,5 Pleasure Crossing,Oakland,CA,94609,1,1,"5 Pleasure Crossing, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
81,Madelyn,Gossington,699 Lake View Park,Oakland,CA,94609,1,1,"699 Lake View Park, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
82,Miguel,Ceaplen,4582 Hayes Crossing,Oakland,CA,94609,1,1,"4582 Hayes Crossing, Oakland, CA 94609",37.819278,-122.264813,MacArthur,0.6339431145608097
83,Forester,Peggrem,73969 Bobwhite Trail,Oakland,CA,94609,1,1,"73969 Bobwhite Trail, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
84,Jed,Britto,8 Loeprich Park,Oakland,CA,94609,1,1,"8 Loeprich Park, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
85,Corbett,Storah,4477 North Park,Oakland,CA,94609,1,1,"4477 North Park, Oakland, CA 94609",37.8495437,-122.2599478,Rockridge,0.5552689809944669
86,Henri,Alliott,6515 Briar Crest Parkway,Oakland,CA,94609,1,1,"6515 Briar Crest Parkway, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
87,Michaela,Preene,4102 Shelley Alley,Oakland,CA,94609,1,1,"4102 Shelley Alley, Oakland, CA 94609",37.813154,-122.247122,19th Street,1.2503061086031637
88,Loralee,Hamil,818 Butterfield Place,Oakland,CA,94609,1,1,"818 Butterfield Place, Oakland, CA 94609",37.8115426,-122.1177085,Lafayette,5.64345183463587
89,Rycca,Ferrarini,4935 Dixon Lane,Oakland,CA,94609,1,1,"4935 Dixon Lane, Oakland, CA 94609",37.8368996,-122.2671455,MacArthur,0.5958982502389059
90,Bryanty,Cunradi,331 Clove Parkway,Oakland,CA,94609,1,1,"331 Clove Parkway, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
91,Charmion,Constantinou,8379 Farmco Parkway,Oakland,CA,94609,1,1,"8379 Farmco Parkway, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
92,Britt,Lane,943 Sage Pass,Oakland,CA,94609,1,1,"943 Sage Pass, Oakland, CA 94609",37.849165,-122.260964,Ashby,0.5606462920194253
93,Rafa,Audry,47547 Bashford Lane,Oakland,CA,94609,1,1,"47547 Bashford Lane, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
94,Jeno,Gorbell,92507 Warner Place,Oakland,CA,94609,1,1,"92507 Warner Place, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
95,Vanda,Sheers,886 Pearson Point,Oakland,CA,94609,1,1,"886 Pearson Point, Oakland, CA 94609",37.8253844,-122.2608248,MacArthur,0.4047712439560022
96,Rona,Gifkins,526 Northridge Crossing,Oakland,CA,94609,1,1,"526 Northridge Crossing, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
97,Kassi,Tavner,27 Waywood Crossing,Oakland,CA,94609,1,1,"27 Waywood Crossing, Oakland, CA 94609",37.8168122,-122.270178,19th Street,0.6202660046245944
98,Joanna,Coursor,462 Welch Circle,Oakland,CA,94609,1,1,"462 Welch Circle, Oakland, CA 94609",37.8100626,-122.2641404,19th Street,0.304981195133851
99,Anne,Grene,624 Gale Drive,Oakland,CA,94609,1,1,"624 Gale Drive, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
100,Ronna,Amberson,3646 Sommers Drive,Oakland,CA,94609,1,1,"3646 Sommers Drive, Oakland, CA 94609",37.7360791,-122.1999375,Coliseum,1.2201857318329932
101,Mufinella,Bugbird,2 Duke Avenue,Oakland,CA,94609,1,1,"2 Duke Avenue, Oakland, CA 94609",37.8349964,-122.2625599,MacArthur,0.5313876692726526
102,Dulcinea,Yukhin,377 Morrow Street,Oakland,CA,94609,1,1,"377 Morrow Street, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
103,Kristel,Gail,5311 Cardinal Drive,Oakland,CA,94609,1,1,"5311 Cardinal Drive, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
104,Larina,Glacken,1855 Golf Course Trail,Oakland,CA,94609,1,1,"1855 Golf Course Trail, Oakland, CA 94609",37.8862299,-122.238024,Downtown Berkeley,2.0012252268266315
105,Vikki,De Domenico,67728 Iowa Hill,Oakland,CA,94609,1,1,"67728 Iowa Hill, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
106,Chase,Follet,108 Heffernan Terrace,Oakland,CA,94609,1,1,"108 Heffernan Terrace, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
107,Hewe,Ismirnioglou,73 Kinsman Way,Oakland,CA,94609,1,1,"73 Kinsman Way, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
108,Ardys,Colbourn,6 Almo Way,Oakland,CA,94609,1,1,"6 Almo Way, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
109,Emmerich,Tsar,7 Mitchell Parkway,Oakland,CA,94609,1,1,"7 Mitchell Parkway, Oakland, CA 94609",37.8211303,-122.2620467,MacArthur,0.5688557956870077
110,Gilly,Campbell,6709 Paget Place,Oakland,CA,94609,1,1,"6709 Paget Place, Oakland, CA 94609",37.8300213,-122.2478805,Rockridge,1.0214574072575504
111,Madlin,Matieu,9829 Carioca Alley,Oakland,CA,94609,1,1,"9829 Carioca Alley, Oakland, CA 94609",37.813154,-122.247122,19th Street,1.2503061086031637
112,Celie,Booker,2943 Badeau Place,Oakland,CA,94609,1,1,"2943 Badeau Place, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
113,Wallie,Alabone,91049 Meadow Ridge Center,Oakland,CA,94609,1,1,"91049 Meadow Ridge Center, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
114,Sigvard,Kerner,51 Schurz Place,Oakland,CA,94609,1,1,"51 Schurz Place, Oakland, CA 94609",37.8370246,-122.2608998,MacArthur,0.6978554140505553
115,Sidonnie,Kurton,8450 Vahlen Place,Oakland,CA,94609,1,1,"8450 Vahlen Place, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
116,Darrelle,Dohrmann,46 Farwell Terrace,Oakland,CA,94609,1,1,"46 Farwell Terrace, Oakland, CA 94609",37.8347058,-122.2698693,MacArthur,0.46665521348930583
117,Kikelia,Ryrie,758 Schmedeman Avenue,Oakland,CA,94609,1,1,"758 Schmedeman Avenue, Oakland, CA 94609",37.8349964,-122.2625599,MacArthur,0.5313876692726526
118,Prentice,Milborn,5508 Warrior Pass,Oakland,CA,94609,1,1,"5508 Warrior Pass, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
119,Pippa,Royle,82 Dexter Point,Oakland,CA,94609,1,1,"82 Dexter Point, Oakland, CA 94609",37.4909093,-122.2402325,Millbrae,11.027205652772924
120,Son,Tyler,7 Esker Street,Oakland,CA,94609,1,1,"7 Esker Street, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
121,Britt,Hanretty,944 Elgar Drive,Oakland,CA,94609,1,1,"944 Elgar Drive, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
122,Tanya,Brightman,6388 Waubesa Street,Oakland,CA,94609,1,1,"6388 Waubesa Street, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
123,Greggory,Elstob,736 Leroy Hill,Oakland,CA,94609,1,1,"736 Leroy Hill, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
124,Catina,Filkin,61 Lindbergh Circle,Oakland,CA,94609,1,1,"61 Lindbergh Circle, Oakland, CA 94609",37.8465946,-122.2653529,Ashby,0.5125645912653143
125,Priscella,Maynard,59218 Morning Lane,Oakland,CA,94609,1,1,"59218 Morning Lane, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
126,Teresa,Dearden,999 Mallory Court,Oakland,CA,94609,1,1,"999 Mallory Court, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
127,Hercules,Quincey,9 Vahlen Plaza,Oakland,CA,94609,1,1,"9 Vahlen Plaza, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
128,Reginauld,Adamkiewicz,4218 Duke Plaza,Oakland,CA,94609,1,1,"4218 Duke Plaza, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
129,Rafaela,Roglieri,38900 Tennessee Drive,Oakland,CA,94609,1,1,"38900 Tennessee Drive, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
130,Laverna,Dolby,11 Beilfuss Park,Oakland,CA,94609,1,1,"11 Beilfuss Park, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
131,Reta,Kennerley,92 Rigney Point,Oakland,CA,94609,1,1,"92 Rigney Point, Oakland, CA 94609",37.5724844,-122.2635849,Millbrae,7.023793875568951
132,Margareta,Probbin,53551 Orin Crossing,Oakland,CA,94609,1,1,"53551 Orin Crossing, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
133,Cyrill,Ezzle,53735 Banding Avenue,Oakland,CA,94609,1,1,"53735 Banding Avenue, Oakland, CA 94609",37.8349964,-122.2625599,MacArthur,0.5313876692726526
134,Merrile,Sawyers,3370 Hayes Park,Oakland,CA,94609,1,1,"3370 Hayes Park, Oakland, CA 94609",37.819278,-122.264813,MacArthur,0.6339431145608097
135,Thacher,Kramer,9448 Stuart Parkway,Oakland,CA,94609,1,1,"9448 Stuart Parkway, Oakland, CA 94609",37.828756,-122.259161,MacArthur,0.4451795655198648
136,Torrence,MacIlhagga,36311 Butternut Place,Oakland,CA,94609,1,1,"36311 Butternut Place, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
137,Arlana,Lemoir,33 School Road,Oakland,CA,94609,1,1,"33 School Road, Oakland, CA 94609",37.8225417,-122.2695791,MacArthur,0.41403264313017435
138,Jeffry,Gyse,2 Derek Way,Oakland,CA,94609,1,1,"2 Derek Way, Oakland, CA 94609",37.7951195,-122.2739576,Lake Merritt,0.44289413308954834
139,Morley,Twinberrow,3 Dottie Plaza,Oakland,CA,94609,1,1,"3 Dottie Plaza, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
140,Nelie,Monkleigh,12951 Homewood Junction,Oakland,CA,94609,1,1,"12951 Homewood Junction, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
141,Michelina,Jewell,565 Farmco Alley,Oakland,CA,94609,1,1,"565 Farmco Alley, Oakland, CA 94609",37.813154,-122.247122,19th Street,1.2503061086031637
142,Matti,Wellard,8 Carberry Parkway,Oakland,CA,94609,1,1,"8 Carberry Parkway, Oakland, CA 94609",37.8418745,-122.2626591,Rockridge,0.6051334975021524
143,Haslett,Maeer,8037 Village Terrace,Oakland,CA,94609,1,1,"8037 Village Terrace, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
144,Willie,Broadbury,76016 Ramsey Plaza,Oakland,CA,94609,1,1,"76016 Ramsey Plaza, Oakland, CA 94609",37.8321173,-122.2625529,MacArthur,0.3708040587560989
145,Craggy,Demangeon,59 Waubesa Pass,Oakland,CA,94609,1,1,"59 Waubesa Pass, Oakland, CA 94609",37.8445926,-122.2681287,Ashby,0.5930231295123476
146,Stanislas,Berzen,8928 Carioca Park,Oakland,CA,94609,1,1,"8928 Carioca Park, Oakland, CA 94609",37.8353421,-122.2631008,MacArthur,0.5391733472689471
